TermTested,TermRostered,Subject,ASGType,NormsReferenceData,GrowthComparisonPeriod,WIStartTerm,WIEndTerm,OptionalGroupingCategory,OptionGroupingGroup,StudentID,StudentGrade,TestDate,StartScore,StartScoreSEM,StartPercentile,StartPercentileSE,StartTestDuration,EndTestDate,EndScore,EndScoreSEM,EndPercentile,EndPercentileSE,EndTestDuration,ProjectedScore,ProjectedGrowth,ObservedGrowth,ObservedGrowthSE,GrowthIndex,MetGrowthProjection?,ConditionalGrowthIndex,ConditionalGrowthPercentile,PercentageofStudentswhoMetorExceededtheirProjectedScore,PercentageofProjectedGrowthMet,CountofStudentswithGrowthProjectionAvailableandValidBeginningandEndingTermScores,CountofStudentswhoMetorExceededtheirProjectedGrowth,MedianConditionalGrowthPercentile,OptionalGroupingPercentageofStudentswhoMetorExceededtheirProjectedScore,OptionalGroupingOverallPercentageofProjectedScoreMet,OptionalGroupingCountofStudentswithGrowthProjectionAvailableandValidBeginningandEndingTermScores,OptionalGroupingCountofStudentswhoMetorExceededtheirProjectedGrowth,OptionalGroupingMedianConditionalGrowthPercentile,StartGrowthandAchievement,EndGrowthandAchievement,ConditionalGrowthPercentileAxis,AchievementPercentileAxis
Winter 2017-2018,Winter 2017-2018,Language Usage,Summary,2015,Fall 2017 - Winter 2018,2,17,NONE,,20,8,9/22/2017,228,2.9,80,5,32,1/18/2018,233,2.9,86,4,39,229,1,5,4.1,4,Yes*,0.8,80,100,400,3,3,73,,,,,,High-G/High-A,High-G/High-A,50,50
Winter 2017-2018,Winter 2017-2018,Language Usage,Summary,2015,Fall 2017 - Winter 2018,2,17,NONE,,23,4,9/22/2017,231,3,99,<1,40,1/17/2018,230,2.9,97,1,54,233,2,-1,4.2,-3,No*,-0.6,28,57.1,64.7,7,4,46,,,,,,Low-G/High-A,Low-G/High-A,50,50
Winter 2017-2018,Winter 2017-2018,Language Usage,Summary,2015,Fall 2017 - Winter 2018,2,17,NONE,,30,3,,,,,,,1/19/2018,209,2.9,82,5,41,,,,,,,,,57.1,64.7,7,4,46,,,,,,,High-A,50,50
Winter 2017-2018,Winter 2017-2018,Language Usage,Summary,2015,Fall 2017 - Winter 2018,2,17,NONE,,31,8,,,,,,,1/18/2018,223,3,65,7,26,,,,,,,,,80,209.1,10,8,62,,,,,,,High-A,50,50
Winter 2017-2018,Winter 2017-2018,Language Usage,Summary,2015,Fall 2017 - Winter 2018,2,17,NONE,,001-0001,2,9/22/2017,189,2.9,83,4,52,1/19/2018,197,2.9,81,5,46,197,8,8,4.1,0,Yes*,0,50,57.1,64.7,7,4,46,,,,,,High-G/High-A,High-G/High-A,50,50
Winter 2017-2018,Winter 2017-2018,Language Usage,Summary,2015,Fall 2017 - Winter 2018,2,17,NONE,,001-0002,5,9/22/2017,224,2.9,91,3,39,1/19/2018,234,2.9,97,1,30,226,2,10,4.1,8,Yes,1.7,96,80,209.1,10,8,62,,,,,,High-G/High-A,High-G/High-A,50,50
Winter 2017-2018,Winter 2017-2018,Language Usage,Summary,2015,Fall 2017 - Winter 2018,2,17,NONE,,001-0003,***,9/22/2017,174,2.9,,,48,***,,,,,,,,,,,,,,100,100,2,2,50,,,,,,,,50,50
Winter 2017-2018,Winter 2017-2018,Language Usage,Summary,2015,Fall 2017 - Winter 2018,2,17,NONE,,001-0004,5,9/22/2017,235,2.9,98,1,46,1/19/2018,238,2.9,99,<1,36,236,1,3,4.1,2,Yes*,0.5,68,80,209.1,10,8,62,,,,,,High-G/High-A,High-G/High-A,50,50
Winter 2017-2018,Winter 2017-2018,Language Usage,Summary,2015,Fall 2017 - Winter 2018,2,17,NONE,,7,3,9/22/2017,208,3.1,90,3,77,1/19/2018,205,2.9,74,6,42,213,5,-3,4.2,-8,No,-1.6,6,57.1,64.7,7,4,46,,,,,,Low-G/High-A,Low-G/High-A,50,50
Winter 2017-2018,Winter 2017-2018,Language Usage,Summary,2015,Fall 2017 - Winter 2018,2,17,NONE,,001-0008,5,9/22/2017,219,2.9,84,5,65,1/19/2018,227,2.9,91,3,65,222,3,8,4.1,5,Yes,1.2,88,80,209.1,10,8,62,,,,,,High-G/High-A,High-G/High-A,50,50
Winter 2017-2018,Winter 2017-2018,Language Usage,Summary,2015,Fall 2017 - Winter 2018,2,17,NONE,,001-0009,7,9/22/2017,232,2.9,91,3,38,1/19/2018,234,2.9,91,3,33,233,1,2,4.1,1,Yes*,0.2,59,80,209.1,10,8,62,,,,,,High-G/High-A,High-G/High-A,50,50
Winter 2017-2018,Winter 2017-2018,Language Usage,Summary,2015,Fall 2017 - Winter 2018,2,17,NONE,,001-0019,4,9/22/2017,224,2.9,96,1,37,1/19/2018,225,2.9,94,2,25,227,3,1,4.1,-2,No*,-0.3,36,80,209.1,10,8,62,,,,,,Low-G/High-A,Low-G/High-A,50,50
Winter 2017-2018,Winter 2017-2018,Language Usage,Summary,2015,Fall 2017 - Winter 2018,2,17,NONE,,001-0020,4,9/22/2017,204,2.9,66,7,38,1/19/2018,205,2.9,54,8,40,209,5,1,4.1,-4,No*,-0.8,20,57.1,64.7,7,4,46,,,,,,Low-G/High-A,Low-G/High-A,50,50
Winter 2017-2018,Winter 2017-2018,Language Usage,Summary,2015,Fall 2017 - Winter 2018,2,17,NONE,,001-0024,2,9/22/2017,167,3,36,7,19,1/19/2018,178,3,36,8,21,178,11,11,4.2,0,Yes*,-0.1,48,100,100,2,2,50,,,,,,High-G/Low-A,High-G/Low-A,50,50
Winter 2017-2018,Winter 2017-2018,Language Usage,Summary,2015,Fall 2017 - Winter 2018,2,17,NONE,,001-0025,4,9/22/2017,208,2.9,75,6,40,1/19/2018,212,2.9,73,6,35,212,4,4,4.1,0,Yes*,-0.1,46,57.1,64.7,7,4,46,,,,,,High-G/High-A,High-G/High-A,50,50
Winter 2017-2018,Winter 2017-2018,Language Usage,Summary,2015,Fall 2017 - Winter 2018,2,17,NONE,,001-0030,4,9/22/2017,214,2.9,86,4,50,1/22/2018,217,2.9,83,5,29,218,4,3,4.1,-1,No*,-0.2,43,80,209.1,10,8,62,,,,,,Low-G/High-A,Low-G/High-A,50,50
Winter 2017-2018,Winter 2017-2018,Language Usage,Summary,2015,Fall 2017 - Winter 2018,2,17,NONE,,001-0031,6,9/22/2017,236,2.9,97,1,53,1/18/2018,239,2.9,97,1,52,237,1,3,4.1,2,Yes*,0.5,70,100,400,3,3,73,,,,,,High-G/High-A,High-G/High-A,50,50
